gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
A1BG,0.011276407,3.42484E-06,0,0
A1CF,0.004982404,8.25667E-07,0,0
A2M,0.02027857,5.5922E-06,0,0
A2ML1,0.028043223,9.30779E-06,0,0
A3GALT2,0.010238951,2.81045E-06,0,0
A4GALT,0.004757553,5.60911E-07,0.000232463,1.14319E-08
A4GNT,0.005024394,1.39387E-06,0,0
AAAS,0.00710485,1.19385E-06,0.000980777,1.01313E-07
AACS,0.014853613,3.41912E-06,0,0
AADAC,0.004717071,1.11775E-06,0,0
AADACL2,0.00644051,1.43946E-06,0,0
AADACL3,0.009375858,4.1309E-06,0,0
AADACL4,0.007381144,1.3398E-06,0,0
AADAT,0.001148539,4.39882E-08,0,0
AAED1,0.005273197,2.1865E-06,0,0
AAGAB,0.005793125,1.58674E-06,0.00007954,1.1306E-09
AAK1,0.011735526,3.69195E-06,0,0
AAMDC,0.003299212,7.27817E-07,0,0
AAMP,0.005141028,1.28013E-06,0,0
AANAT,0.010339456,3.11949E-06,0,0
AAR2,0.008371867,2.67258E-06,0,0
AARD,0.004629852,1.73485E-06,0,0
AARS,0.010087174,1.94866E-06,0.000514362,2.64568E-07
AARS2,0.016483751,5.46471E-06,0.000338432,7.69634E-08
AARSD1,0.011173577,3.97543E-06,0,0
AASDH,0.013996369,4.14908E-06,0,0
AASDHPPT,0.003969316,1.3179E-06,0,0
AASS,0.012902558,4.41091E-06,0.000041281,4.76509E-10
AATF,0.009761103,3.40407E-06,0,0
ABAT,0.005838026,6.97813E-07,0,0
ABCA1,0.021785353,5.00924E-06,0.003077736,1.00857E-06
ABCA10,0.023863003,5.94516E-06,0,0
ABCA12,0.025555461,6.0735E-06,0.001500667,9.60106E-07
ABCA13,0.075822551,1.6903E-05,0.000114243,6.61035E-09
ABCA2,0.034489681,8.08715E-06,0,0
ABCA3,0.030431869,8.37206E-06,0.000620589,7.10485E-08
ABCA4,0.026138087,5.84968E-06,0.015119388,4.84838E-06
ABCA5,0.025319366,7.8654E-06,0,0
ABCA6,0.028021477,8.54266E-06,0,0
ABCA7,0.055272469,1.41004E-05,0,0
ABCA8,0.031120213,1.03859E-05,0.000587174,3.44773E-07
ABCA9,0.022070249,5.8173E-06,0,0
ABCB1,0.013489245,2.81484E-06,0,0
ABCB10,0.010769279,4.56248E-06,0,0
ABCB11,0.015403757,3.94241E-06,0.001900268,5.48623E-07
ABCB4,0.010124494,1.76589E-06,0.003066659,1.43343E-06
ABCB5,0.032226001,1.14197E-05,0,0
ABCB6,0.014954556,3.29966E-06,0.000343144,2.94801E-08
ABCB7,0.005929937,2.34134E-06,0,0
ABCB8,0.016855822,4.01197E-06,0,0
ABCB9,0.013052145,2.36647E-06,0,0
ABCC1,0.022380198,6.49398E-06,0,0
ABCC10,0.02657477,6.82047E-06,0,0
ABCC11,0.027368361,8.16563E-06,0,0
ABCC12,0.023519946,5.5128E-06,0,0
ABCC2,0.024408976,5.39133E-06,0.000856869,1.54304E-07
ABCC3,0.02850863,7.25555E-06,0,0
ABCC4,0.018432429,6.43512E-06,0,0
ABCC5,0.014224948,4.65427E-06,0,0
ABCC6,0.027211183,7.9619E-06,0.005898625,1.84694E-06
ABCC8,0.016718803,4.59184E-06,0.004263757,1.43212E-06
ABCC9,0.007931689,2.08509E-06,0.000321698,2.14207E-08
ABCD1,0.009194795,1.34675E-06,0.000212593,7.33403E-09
ABCD2,0.005280742,1.46667E-06,0,0
ABCD3,0.003126095,2.10965E-07,0,0
ABCD4,0.010084433,1.64471E-06,0.000082672,2.87086E-09
ABCE1,0.002100692,7.37929E-07,0,0
ABCF1,0.006819228,7.7728E-07,0,0
ABCF2,0.002385002,7.88298E-08,0,0
ABCF3,0.010241395,2.15982E-06,0,0
ABCG1,0.011743451,3.14919E-06,0.001060185,5.83736E-07
ABCG2,0.012436382,3.57078E-06,0.00011543,6.11875E-09
ABCG4,0.006491797,1.99927E-06,0,0
ABCG5,0.012426691,3.01966E-06,0.000538515,5.92439E-08
ABCG8,0.016373251,5.52706E-06,0.000866196,1.03852E-07
ABHD1,0.007223242,1.35716E-06,0,0
ABHD10,0.007388846,2.76171E-06,0,0
ABHD11,0.004230716,3.6344E-07,0,0
ABHD12,0.012085922,3.94002E-06,0.000032971,5.43543E-10
ABHD12B,0.006002348,1.23414E-06,0,0
ABHD13,0.002982897,5.79862E-07,0,0
ABHD14A,0.00594307,1.13972E-06,0,0
ABHD14A-ACY1,0.008442644,1.82494E-06,0.000124087,7.27822E-09
ABHD14B,0.003130552,3.77627E-07,0,0
ABHD15,0.008852284,2.10663E-06,0,0
ABHD16A,0.007433939,2.48336E-06,0,0
ABHD17B,0.001802766,7.51121E-07,0,0
ABHD17C,0.000904318,7.71626E-08,0,0
ABHD2,0.003339096,8.13132E-07,0,0
ABHD3,0.007631572,2.46127E-06,0,0
ABHD4,0.005896771,2.07713E-06,0,0
ABHD5,0.004775851,1.29191E-06,0.000246176,3.07431E-08
ABHD6,0.003612761,8.81852E-07,0,0
ABHD8,0.003533143,3.87088E-07,0,0
ABI1,0.005263402,2.22112E-06,0,0
ABI2,0.005491607,1.54957E-06,0,0
ABI3,0.007399658,2.03057E-06,0,0
ABI3BP,0.031623668,9.10681E-06,0,0
ABL1,0.01207242,2.69624E-06,0,0
ABL2,0.013696424,4.3728E-06,0,0
ABLIM1,0.011864815,3.45683E-06,0,0
ABLIM2,0.013191604,2.93121E-06,0,0
ABLIM3,0.013502016,4.49972E-06,0,0
ABR,0.008250994,2.34566E-06,0,0
ABRA,0.006761794,2.34748E-06,0,0
ABRACL,0.000686591,2.8837E-08,0,0
ABT1,0.002725757,2.04363E-07,0,0
ABTB1,0.011049619,3.67885E-06,0,0
ABTB2,0.014816908,3.34804E-06,0,0
AC004076.9,0.001828233,5.01484E-07,0,0
AC004381.6,0.008156391,2.56826E-06,0,0
AC004466.1,0.007093875,3.69447E-06,0,0
AC005358.1,0.009861145,2.8799E-06,0,0
AC005609.1,0.002864122,7.66623E-07,0,0
AC006435.1,0.004561542,2.0299E-06,0,0
AC007040.11,0.001814774,6.56488E-07,0,0
AC010336.1,0.00385282,9.42477E-07,0,0
AC010441.1,0.00337544,1.18256E-06,0,0
AC011484.1,0.002351399,6.46966E-07,0,0
AC013449.1,0.003402265,6.17667E-07,0,0
AC022532.1,0.002436399,3.83346E-07,0.000116095,1.3478E-08
AC026703.1,0.002871408,1.34237E-06,0,0
AC079210.1,0.002558547,1.15249E-06,0.000049419,2.44224E-09
AC093157.1,0.002494721,1.041E-06,0,0
AC103809.2,0.004428742,1.99337E-06,0,0
AC110615.1,0.001880038,5.35781E-07,0,0
AC114494.1,0.002010874,4.77279E-07,0,0
AC129492.6,0.004359871,2.30208E-06,0,0
ACAA1,0.008980621,2.73318E-06,0,0
ACAA2,0.005677449,1.54955E-06,0,0
ACACA,0.014141997,4.48183E-06,0,0
ACACB,0.035086607,7.0893E-06,0,0
ACAD10,0.016622338,2.88066E-06,0,0
ACAD11,0.013372064,4.14557E-06,0,0
ACAD8,0.005788003,1.2363E-06,0.00085178,1.21345E-07
ACAD9,0.01036295,2.3729E-06,0.000339382,4.95386E-08
ACADL,0.007461522,2.11535E-06,0.000050638,2.56421E-09
ACADM,0.004336906,9.86705E-07,0.002018777,6.79509E-07
ACADS,0.005915745,8.25786E-07,0.001861345,4.18916E-07
